TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,WeightKg,BMI,Fat,TotalActiveMinutes,ActivityRatio,VeryActiveRatio,SedentaryPercentage,ActivitySleepRatio,StepsPerActiveMinute,CaloriesPerStep
8367,5.44000005722046,5.44000005722046,0.0,1.11000001430511,1.87000000476837,2.46000003814697,0.0,17,36,154,1233,1670,1.0,433.0,463.0,62.5,24.3899993896484,23.5,207,0.1436502428868841,0.08173076923076923,0.85625,0.4769585253456221,40.22596153846154,0.1995697896749522
2759,1.78999996185303,1.78999996185303,0.0,0.0,0.200000002980232,1.60000002384186,0.0,0,5,115,1320,1401,1.0,433.0,463.0,62.5,24.3899993896484,23.5,120,0.08327550312283137,0.0,0.9166666666666666,0.2764976958525346,22.801652892561982,0.5076086956521739
2390,1.54999995231628,1.54999995231628,0.0,0.0,0.0,1.54999995231628,0.0,0,0,150,1290,1404,1.0,433.0,463.0,62.5,24.3899993896484,23.5,150,0.1040943789035392,0.0,0.8958333333333334,0.3456221198156682,15.827814569536423,0.5872020075282308
6474,4.30000019073486,4.30000019073486,0.0,0.899999976158142,1.27999997138977,2.11999988555908,0.0099999997764825,11,23,224,1182,1655,1.0,433.0,463.0,62.5,24.3899993896484,23.5,258,0.17904233171408743,0.04247104247104247,0.8208333333333333,0.5944700460829493,24.996138996138995,0.2555984555984556
36019,28.0300006866455,28.0300006866455,0.0,21.9200000762939,4.19000005722046,1.9099999666214,0.0199999995529652,186,63,171,1020,2690,1.0,433.0,463.0,62.5,24.3899993896484,23.5,420,0.2914642609299098,0.4418052256532066,0.7083333333333334,0.967741935483871,85.55581947743468,0.07468073292615214
7155,4.92999982833862,4.92999982833862,0.0,0.860000014305115,0.589999973773956,3.47000002861023,0.0,7,6,166,1261,1497,1.0,433.0,463.0,62.5,24.3899993896484,23.5,179,0.12421929215822346,0.03888888888888889,0.8756944444444444,0.41244239631336405,39.75,0.2091950810508664
2100,1.37000000476837,1.37000000476837,0.0,0.0,0.0,1.3400000333786,0.0199999995529652,0,0,96,1344,1334,1.0,433.0,463.0,62.5,24.3899993896484,23.5,96,0.06662040249826509,0.0,0.9333333333333333,0.22119815668202766,21.649484536082475,0.6349357448833889
2193,1.42999994754791,1.42999994754791,0.0,0.0,0.0,1.41999995708466,0.0,0,0,118,1322,1368,1.0,433.0,463.0,62.5,24.3899993896484,23.5,118,0.08188757807078417,0.0,0.9180555555555555,0.271889400921659,18.428571428571427,0.6235186873290793
2470,1.61000001430511,1.61000001430511,0.0,0.0,0.0,1.58000004291534,0.0199999995529652,0,0,117,1323,1370,1.0,433.0,463.0,62.5,24.3899993896484,23.5,117,0.08119361554476058,0.0,0.91875,0.2695852534562212,20.93220338983051,0.5544314042897612
1727,1.12000000476837,1.12000000476837,0.0,0.0,0.0,1.12000000476837,0.0099999997764825,0,0,102,1338,1341,1.0,433.0,463.0,62.5,24.3899993896484,23.5,102,0.07078417765440666,0.0,0.9291666666666667,0.2350230414746544,16.766990291262136,0.7760416666666666
2104,1.37000000476837,1.37000000476837,0.0,0.0,0.0,1.37000000476837,0.0,0,0,182,1258,1474,1.0,433.0,463.0,62.5,24.3899993896484,23.5,182,0.12630117973629423,0.0,0.8736111111111111,0.41935483870967744,11.497267759562842,0.7002375296912114
3427,2.23000001907349,2.23000001907349,0.0,0.0,0.0,2.22000002861023,0.0,0,0,152,1288,1427,1.0,433.0,463.0,62.5,24.3899993896484,23.5,152,0.1054823039555864,0.0,0.8944444444444445,0.35023041474654376,22.398692810457515,0.4162777129521587
1732,1.12999999523163,1.12999999523163,0.0,0.0,0.0,1.12999999523163,0.0,0,0,91,1349,1328,1.0,433.0,463.0,62.5,24.3899993896484,23.5,91,0.06315058986814712,0.0,0.9368055555555556,0.20967741935483872,18.82608695652174,0.7663012117714946
2969,1.92999994754791,1.92999994754791,0.0,0.0,0.0,1.91999995708466,0.0099999997764825,0,0,139,1301,1393,1.0,433.0,463.0,62.5,24.3899993896484,23.5,139,0.09646079111727966,0.0,0.9034722222222222,0.32027649769585254,21.207142857142856,0.469023569023569
3134,2.03999996185303,2.03999996185303,0.0,0.0,0.0,2.03999996185303,0.0,0,0,112,1328,1359,1.0,433.0,463.0,62.5,24.3899993896484,23.5,112,0.0777238029146426,0.0,0.9222222222222223,0.25806451612903225,27.734513274336283,0.43349282296650715
2971,1.92999994754791,1.92999994754791,0.0,0.0,0.0,1.91999995708466,0.0099999997764825,0,0,107,890,1002,1.0,433.0,463.0,62.5,24.3899993896484,23.5,107,0.10721442885771543,0.0,0.6180555555555556,0.2465437788018433,27.50925925925926,0.33714670255720053
10694,7.76999998092651,7.76999998092651,0.0,0.140000000596046,2.29999995231628,5.32999992370605,0.0,2,51,256,1131,3199,1.0,433.0,463.0,62.5,24.3899993896484,23.5,309,0.21443442054129078,0.0064516129032258064,0.7854166666666667,0.7119815668202765,34.49677419354839,0.299111734455353
8001,5.82000017166138,5.82000017166138,0.0,2.27999997138977,0.899999976158142,2.64000010490417,0.0,30,16,135,1259,2902,1.0,433.0,463.0,62.5,24.3899993896484,23.5,181,0.12560721721027066,0.16483516483516483,0.8743055555555556,0.41705069124423966,43.96153846153846,0.36265933516620846
11037,8.02000045776367,8.02000045776367,0.0,0.360000014305115,2.55999994277954,5.09999990463257,0.0,5,58,252,1125,3226,1.0,433.0,463.0,62.5,24.3899993896484,23.5,315,0.21859819569743233,0.015822784810126583,0.78125,0.7258064516129032,34.927215189873415,0.2922630911396992
5263,3.82999992370605,3.82999992370605,0.0,0.219999998807907,0.150000005960464,3.45000004768372,0.0,3,4,170,1263,2750,1.0,433.0,463.0,62.5,24.3899993896484,23.5,177,0.12283136710617627,0.016853932584269662,0.8770833333333333,0.4078341013824885,29.56741573033708,0.5224164133738601
15300,11.1199998855591,11.1199998855591,0.0,4.09999990463257,1.87999999523163,5.09000015258789,0.0,51,42,212,1135,3493,1.0,433.0,463.0,62.5,24.3899993896484,23.5,305,0.21165857043719638,0.16666666666666666,0.7881944444444444,0.7027649769585254,50.0,0.22828573295863017
8757,6.36999988555908,6.36999988555908,0.0,2.25,0.569999992847443,3.54999995231628,0.0,29,13,186,1212,3011,1.0,433.0,463.0,62.5,24.3899993896484,23.5,228,0.1582234559333796,0.12663755458515283,0.8416666666666667,0.5253456221198156,38.24017467248908,0.343799954327472
7132,5.19000005722046,5.19000005722046,0.0,1.07000005245209,1.66999995708466,2.45000004768372,0.0,15,33,121,1271,2806,1.0,433.0,463.0,62.5,24.3899993896484,23.5,169,0.11727966689798751,0.08823529411764706,0.8826388888888889,0.38940092165898615,41.95294117647059,0.3933828683583345
11256,8.18000030517578,8.18000030517578,0.0,0.360000014305115,2.52999997138977,5.30000019073486,0.0,5,58,278,1099,3300,1.0,433.0,463.0,62.5,24.3899993896484,23.5,341,0.2366412213740458,0.014619883040935672,0.7631944444444444,0.7857142857142857,32.91228070175438,0.293150928311273
2436,1.76999998092651,1.76999998092651,0.0,0.0,0.0,1.75999999046326,0.0099999997764825,0,0,125,1315,2430,1.0,433.0,463.0,62.5,24.3899993896484,23.5,125,0.08674531575294935,0.0,0.9131944444444444,0.2880184331797235,19.333333333333332,0.9971276159212146
1223,0.889999985694885,0.889999985694885,0.0,0.0,0.0,0.879999995231628,0.0099999997764825,0,0,38,1402,2140,1.0,433.0,463.0,62.5,24.3899993896484,23.5,38,0.0263705759888966,0.0,0.9736111111111111,0.08755760368663594,31.358974358974358,1.7483660130718954
3673,2.67000007629395,2.67000007629395,0.0,0.0,0.0,2.66000008583069,0.0099999997764825,0,0,86,1354,2344,1.0,433.0,463.0,62.5,24.3899993896484,23.5,86,0.05968077723802915,0.0,0.9402777777777778,0.19815668202764977,42.2183908045977,0.637996733805117
6637,4.82999992370605,4.82999992370605,0.0,0.0,0.579999983310699,4.25,0.0,0,15,160,1265,2677,1.0,433.0,463.0,62.5,24.3899993896484,23.5,175,0.12144344205412907,0.0,0.8784722222222222,0.4032258064516129,37.71022727272727,0.40328412172341066
3321,2.41000008583069,2.41000008583069,0.0,0.0,0.0,2.41000008583069,0.0,0,0,89,1351,2413,1.0,433.0,463.0,62.5,24.3899993896484,23.5,89,0.06176266481609993,0.0,0.9381944444444444,0.20506912442396313,36.9,0.726369656833233
3580,2.59999990463257,2.59999990463257,0.0,0.589999973773956,0.0599999986588955,1.95000004768372,0.0,8,1,94,1337,2497,1.0,433.0,463.0,62.5,24.3899993896484,23.5,103,0.07147814018043026,0.07692307692307693,0.9284722222222223,0.23732718894009217,34.42307692307692,0.6972912594247417
9919,7.21000003814697,7.21000003814697,0.0,0.800000011920929,1.72000002861023,4.69000005722046,0.0,11,41,223,1165,3123,1.0,433.0,463.0,62.5,24.3899993896484,23.5,275,0.19083969465648856,0.03985507246376811,0.8090277777777778,0.6336405529953917,35.93840579710145,0.3148185483870968
3032,2.20000004768372,2.20000004768372,0.0,0.0,0.0,2.20000004768372,0.0,0,0,118,1322,2489,1.0,433.0,463.0,62.5,24.3899993896484,23.5,118,0.08188757807078417,0.0,0.9180555555555555,0.271889400921659,25.478991596638654,0.8206396307286515
9405,6.84000015258789,6.84000015258789,0.0,0.200000002980232,2.3199999332428,4.30999994277954,0.0,3,53,227,1157,3108,1.0,433.0,463.0,62.5,24.3899993896484,23.5,283,0.1963913948646773,0.01056338028169014,0.8034722222222223,0.652073732718894,33.11619718309859,0.3304273867743993
3176,2.30999994277954,2.30999994277954,0.0,0.0,0.0,2.30999994277954,0.0,0,0,120,1193,2498,1.0,119.0,127.0,62.5,24.3899993896484,23.5,120,0.091324200913242,0.0,0.8284722222222223,1.0,26.24793388429752,0.7862763613471829
18213,13.2399997711182,13.2399997711182,0.0,0.629999995231628,3.14000010490417,9.46000003814697,0.0,9,71,402,816,3846,1.0,124.0,142.0,62.5,24.3899993896484,23.5,482,0.3710546574287914,0.018633540372670808,0.5666666666666667,3.856,37.70807453416149,0.21115625343142638
6132,4.46000003814697,4.46000003814697,0.0,0.239999994635582,0.990000009536743,3.23000001907349,0.0,3,24,146,908,2696,1.0,433.0,463.0,62.5,24.3899993896484,23.5,173,0.1598890942698706,0.017241379310344827,0.6305555555555555,0.3986175115207373,35.241379310344826,0.4395891081037013
3758,2.73000001907349,2.73000001907349,0.0,0.0700000002980232,0.310000002384186,2.34999990463257,0.0,1,7,148,682,2580,1.0,796.0,961.0,62.5,24.3899993896484,23.5,156,0.18593563766388557,0.006369426751592357,0.4736111111111111,0.19573400250941028,23.936305732484076,0.6863527533918595
12850,9.34000015258789,9.34000015258789,0.0,0.720000028610229,4.09000015258789,4.53999996185303,0.0,10,94,221,1115,3324,1.0,433.0,463.0,62.5,24.3899993896484,23.5,325,0.22553782095766828,0.03067484662576687,0.7743055555555556,0.7488479262672811,39.41717791411043,0.25865691385884365
2309,1.67999994754791,1.67999994754791,0.0,0.0,0.0,1.6599999666214,0.0199999995529652,0,0,52,1388,2222,1.0,433.0,463.0,62.5,24.3899993896484,23.5,52,0.03608605135322693,0.0,0.9638888888888889,0.11981566820276497,43.56603773584906,0.9619047619047619
4363,3.19000005722046,3.19000005722046,0.0,0.519999980926514,0.540000021457672,2.13000011444092,0.0099999997764825,6,12,81,1341,2463,1.0,433.0,463.0,62.5,24.3899993896484,23.5,99,0.06870229007633588,0.06,0.93125,0.22811059907834103,43.63,0.5643904674610449
9787,7.11999988555908,7.11999988555908,0.0,0.819999992847443,0.270000010728836,6.01000022888184,0.0199999995529652,11,6,369,1054,3328,1.0,433.0,463.0,62.5,24.3899993896484,23.5,386,0.2678695350451076,0.028423772609819122,0.7319444444444444,0.8894009216589862,25.289405684754524,0.340008173273396
